,Title,Year,IMDB rating,IMDB link,Rating count
2,The Lincoln Lawyer,2022,7.8,https://www.imdb.com/title/tt13833978/,91787.0
5,How to Get to Heaven from Belfast,2026,7.4,https://www.imdb.com/title/tt31709373/,1875.0
6,Fallout,2024,8.3,https://www.imdb.com/title/tt12637874/,377286.0
10,Love Story,2026,7.6,https://www.imdb.com/title/tt15232564/,769.0
11,Cross,2024,7.2,https://www.imdb.com/title/tt11794812/,30496.0
12,Bridgerton,2020,7.5,https://www.imdb.com/title/tt8740790/,218646.0
14,The Night Manager,2016,8.0,https://www.imdb.com/title/tt1399664/,130507.0
16,Shrinking,2023,8.1,https://www.imdb.com/title/tt15677150/,114349.0
18,His &amp; Hers,2026,7.2,https://www.imdb.com/title/tt33035373/,63084.0
20,Wonder Man,2026,7.5,https://www.imdb.com/title/tt21066182/,23380.0
21,Landman,2024,8.2,https://www.imdb.com/title/tt14186672/,98546.0
22,The Rookie,2018,8.0,https://www.imdb.com/title/tt7587890/,120739.0
23,House of the Dragon,2022,8.3,https://www.imdb.com/title/tt11198330/,507653.0
27,Small Prophets,2026,8.5,https://www.imdb.com/title/tt38504111/,1927.0
28,The Artful Dodger,2023,8.0,https://www.imdb.com/title/tt20285780/,16686.0
29,Hijack,2023,7.4,https://www.imdb.com/title/tt19854762/,88289.0
32,High Potential,2024,7.6,https://www.imdb.com/title/tt22091076/,44815.0
34,Pluribus,2025,8.0,https://www.imdb.com/title/tt22202452/,126207.0
35,Tell Me Lies,2022,7.1,https://www.imdb.com/title/tt13018148/,16936.0
36,Industry,2020,7.5,https://www.imdb.com/title/tt7671070/,24718.0
41,The Walking Dead,2017,8.1,https://www.imdb.com/title/tt1520211/,1182985.0
42,The White Lotus,2021,8.0,https://www.imdb.com/title/tt13406094/,316060.0
43,Animal Kingdom,2017,8.2,https://www.imdb.com/title/tt5574490/,54236.0
45,Ponies,2026,7.1,https://www.imdb.com/title/tt33270420/,6087.0
51,Kohrra,2023,7.5,https://www.imdb.com/title/tt27853283/,10982.0
52,Paradise,2025,7.8,https://www.imdb.com/title/tt27444205/,61096.0
53,Masumiyet MÃ¼zesi,2026,7.8,https://www.imdb.com/title/tt34692373/,1164.0
56,Supernatural,2005,8.4,https://www.imdb.com/title/tt0460681/,532507.0
60,ER,1994,7.9,https://www.imdb.com/title/tt0108757/,75971.0
61,Reidi Dua,2026,7.3,https://www.imdb.com/title/tt35149250/,767.0
62,Grey&apos;s Anatomy,2005,7.6,https://www.imdb.com/title/tt0413573/,371015.0
63,Euphoria,2019,8.2,https://www.imdb.com/title/tt8772296/,291286.0
67,From,2022,7.8,https://www.imdb.com/title/tt9813792/,167077.0
68,The Night Agent,2023,7.4,https://www.imdb.com/title/tt13918776/,150692.0
69,Homeland,2013,8.3,https://www.imdb.com/title/tt1796960/,381137.0
72,Smallville,2001,7.5,https://www.imdb.com/title/tt0279600/,149941.0
74,Olowiane dzieci,2026,7.6,https://www.imdb.com/title/tt33322230/,775.0
79,The Last of Us,2023,8.5,https://www.imdb.com/title/tt3581920/,726149.0
80,The Beast in Me,2025,7.4,https://www.imdb.com/title/tt31974367/,59712.0
81,Law &amp; Order: Special Victims Unit,2022,8.1,https://www.imdb.com/title/tt0203259/,143040.0
82,Reacher,2022,8.0,https://www.imdb.com/title/tt9288030/,286277.0
83,Tehran,2020,7.6,https://www.imdb.com/title/tt10577736/,30478.0
85,Slow Horses,2022,8.3,https://www.imdb.com/title/tt5875444/,142513.0
87,All Her Fault,2025,7.5,https://www.imdb.com/title/tt31314751/,37602.0
88,One Piece,2023,8.3,https://www.imdb.com/title/tt11737520/,184893.0
89,Dark Winds,2022,7.7,https://www.imdb.com/title/tt15017118/,30434.0
91,Task,2025,8.0,https://www.imdb.com/title/tt28013708/,65550.0
92,School Spirits,2023,7.7,https://www.imdb.com/title/tt21057450/,17113.0
95,IT: Welcome to Derry,2025,8.0,https://www.imdb.com/title/tt19244304/,94931.0
98,Silo,2023,8.1,https://www.imdb.com/title/tt14688458/,208036.0
99,The Big Bang Theory,2007,8.1,https://www.imdb.com/title/tt0898266/,930908.0
100,Scrubs,2001,8.4,https://www.imdb.com/title/tt0285403/,282165.0
